StoredProcedure|Path|LineNumber|Line
spDALErrorLogInsert|C:\CSPData\Development\Rocket\API\POSParser\Classes\ErrorLog.cs|39|cmdLogError.CommandText = "spDALErrorLogInsert";

spDALPurchaseInvoiceRetailingLogFind|C:\CSPData\Development\Rocket\Common\CSPBL\PURInvoiceRetailingLogDelete.cs|51|cmdTemp.CommandText = "[V10].[spDALPurchaseInvoiceRetailingLogFindWeb]";

spDALPurchaseInvoiceRetailingLogFind|C:\CSPData\Development\Rocket\Common\CSPBL\PURInvoiceRetailingLogDelete.cs|147|cmdLogTemp.CommandText = "[dbo].[spDALPurchaseInvoiceRetailingLogFindWebByID]";

spEWFDALErrorLogAdd|C:\CSPData\Development\Rocket\Mobile\Foundation\Classes\EWFLogError.cs|104|cmdTemp.CommandText = "spEWFDALErrorLogAdd";

spEWFGetEntityMenu|C:\CSPData\Development\Rocket\Mobile\Foundation\Controls\EnetMenu\EnetMenu.cs|67|cmdGetMenu.CommandText = "spEWFGetEntityMenu";

spEWFGetEntityMenu|C:\CSPData\Development\Rocket\Mobile\Foundation\Controls\EnetMenu\EnetMenu.cs|129|cmdGetMenu.CommandText = "spEWFGetEntityMenu";

spEWFGetEntityPage|C:\CSPData\Development\Rocket\Mobile\Foundation\Page\Login.cs|351|cmdTemp.CommandText = "spEWFGetEntityPage";

spEWFValidateForgotPassword|C:\CSPData\Development\Rocket\Mobile\Foundation\Pages\EWFUserManager.cs|97|cmdTemp.CommandText = "spEWFValidateForgotPassword";

spGetRCardBatch|C:\CSPData\Development\Rocket\Mobile\Server\csa\content\daily\resources\handler\dailyDetails.ashx.cs|2920|/*cmdGetBatch.CommandText = "spGetRCardBatch";

spDALPURInvoiceRetailingLogInsert|C:\CSPData\Development\Rocket\Mobile\Server\csa\content\deliveryscan\resources\classes\retailitem.cs|85|cmdTemp.CommandText = "[V10].[spDALPURInvoiceRetailingLogInsertPreValues]";

spBLGetNextDayReportDate|C:\CSPData\Development\Rocket\Mobile\Server\csa\content\deliveryscan\resources\handler\addnewdelivery.ashx.cs|454|cmdTemp.CommandText = "[mob].[spBLGetNextDayReportDate]";

spDALPurchaseInvoiceRetailingLogFind|C:\CSPData\Development\Rocket\Mobile\Server\csa\content\deliveryscan\resources\handler\editinvoiceitemdetails.ashx.cs|582|cmdTemp.CommandText = "[mob].[spDALPurchaseInvoiceRetailingLogFindWebByID]";

spDALPurchaseInvoiceRetailingLogFind|C:\CSPData\Development\Rocket\Mobile\Server\csa\content\deliveryscan\resources\handler\editinvoiceitemdetails.ashx.cs|678|cmdTemp.CommandText = "[mob].[spDALPurchaseInvoiceRetailingLogFindWebByID]";

spDALPurchaseInvoiceRetailingLogUpdate|C:\CSPData\Development\Rocket\Mobile\Server\csa\content\deliveryscan\resources\handler\editinvoiceitemdetails.ashx.cs|841|cmdStoreRetailLog.CommandText = "[mob].[spDALPurchaseInvoiceRetailingLogUpdateNew]";

spDALGetBankAccount|C:\CSPData\Development\Rocket\Mobile\Server\csa\content\deliveryscan\resources\handler\getstorebankaccounts.ashx.cs|59|cmdTemp.CommandText = "[V10].[spDALGetBankAccount]";

spFoodStampsProfitData|C:\CSPData\Development\Rocket\Mobile\Server\csa\content\financial\resources\handler\profitSummary.ashx.cs|1868|cmdGetData.CommandText = "spFoodStampsProfitData";

spBLCC2Fee|C:\CSPData\Development\Rocket\Mobile\Server\csa\content\financial\resources\handler\profitSummary.ashx.cs|2081|cmdGetData.CommandText = "spBLCC2Fee";

spBLCC3Fee|C:\CSPData\Development\Rocket\Mobile\Server\csa\content\financial\resources\handler\profitSummary.ashx.cs|2151|cmdGetData.CommandText = "spBLCC3Fee";

spDALStoreEngagementInterComio|C:\CSPData\Development\Rocket\Web\CSPWeb\Classes\StoreEngagement.cs|32|cmdTemp.CommandText = "[spDALStoreEngagementInterComio]";

spDALLotterySettings|C:\CSPData\Development\Rocket\Web\CSPWeb\Classes\StoreSettings.cs|661|cmdTemp.CommandText = "spDALLotterySettings";

spDALControlPointsFind|C:\CSPData\Development\Rocket\Web\CSPWeb\Classes\DAL\ControlPoints.cs|70|cmdTemp.CommandText = "spDALControlPointsFind";

spDALControlPointsInsert|C:\CSPData\Development\Rocket\Web\CSPWeb\Classes\DAL\ControlPoints.cs|154|cmdTemp.CommandText = "spDALControlPointsInsert";

spDALControlPointsUpdate|C:\CSPData\Development\Rocket\Web\CSPWeb\Classes\DAL\ControlPoints.cs|159|cmdTemp.CommandText = "spDALControlPointsUpdate";

spDALControlPointsDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Classes\DAL\ControlPoints.cs|245|cmdTemp.CommandText = "spDALControlPointsDelete";

spDALDailyReportComponentDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Classes\DAL\DailyReportComponent.cs|205|cmdTemp.CommandText = "spDALDailyReportComponentDelete";

